season,id,name,plays,qb_epa_per,qb_epa_adj_per,qb_epa,yac_adj,drop_adj,int_adj,sack_adj,fumble_adj,dpi_adj,sos_adj,weather_adj,total_adj,qb_epa_adj,epa_rank,epa_adj_rank,rank_chg
2025,00-0034869,S.Darnold,555,0.16202,0.1391,89.9,-9.4,-16.7,13.3,-5.9,4.4,-1,3.1,-0.5,-12.7,77.2,14,17,-3
2025,00-0036972,M.Jones,338,0.15874,0.12988,53.7,3.2,-2.3,-5,-6.6,-3.9,1,4.5,-0.7,-9.8,43.9,15,18,-3
2025,00-0035710,D.Jones,480,0.18264,0.12,87.7,-1.2,-10.4,-3.6,-6.5,-1.9,-1,-3.1,-2.4,-30.1,57.6,12,19,-7
2025,00-0026300,J.Johnson,73,0.23884,0.11918,17.4,-2.7,-3.3,-1.4,1.4,4.1,-3.5,-3.5,0.2,-8.7,8.7,7,20,-13
2025,00-0040691,J.Dart,488,0.14688,0.11844,71.7,-2.1,11.8,-12.3,-2.2,-3.2,-2.5,-3.2,-0.2,-13.9,57.8,19,21,-2
2025,00-0036389,J.Hurts,611,0.12015,0.11833,73.4,13.2,-4.1,-1.4,-3.7,-1.5,-1.5,-4.2,2.1,-1.1,72.3,22,22,0
2025,00-0039398,J.Milton,32,0.00325,0.09375,0.1,0.4,-1.8,2.4,-0.1,2.1,-0.4,0.3,0,2.9,3,40,23,17
2025,00-0039910,J.Daniels,280,0.02919,0.09357,8.2,-5.2,18.7,-0.5,2.6,2,0.5,0,-0.1,18,26.2,34,24,10
2025,00-0036355,J.Herbert,670,0.0899,0.08597,60.2,-0.7,-8.8,7.2,4.1,-3,2.5,-3.6,-0.3,-2.6,57.6,26,25,1
2025,00-0039918,C.Williams,697,0.08633,0.08207,60.2,-14.3,16.2,-16.7,3.7,0.4,4.1,3.3,0.3,-3,57.2,27,26,1
2025,00-0039163,C.Stroud,524,0.15716,0.08073,82.4,-0.4,-15.1,-10.6,-7.4,-4.7,0.1,-0.4,-1.6,-40.1,42.3,16,27,-11
2025,00-0032268,M.Mariota,308,0.03486,0.07305,10.7,2.7,-1.1,10.7,-2,1,-1.2,0.9,0.8,11.8,22.5,33,28,5
2025,00-0034855,B.Mayfield,676,0.09116,0.06849,61.6,0,2.8,-1.7,-6,-10.9,-1.6,1.7,0.4,-15.3,46.3,25,29,-4
2025,00-0039376,S.Rattler,327,-0.01361,0.06789,-4.5,26.1,4.6,-7.1,-0.1,2.6,0,1.9,-1.3,26.7,22.2,42,30,12
2025,00-0028118,T.Taylor,180,-0.0255,0.065,-4.6,-2.6,15.6,2.8,0.7,-0.2,-0.4,0.3,0.1,16.3,11.7,44,31,13
2025,00-0027973,A.Dalton,48,-0.18142,0.05625,-8.7,1,-1.7,2.5,3.9,3.9,0.3,1.2,0.3,11.4,2.7,56,32,24
2025,00-0039732,B.Nix,740,0.10713,0.05365,79.3,-10.8,3.5,-16.4,0.2,-2.9,1.8,-14.6,-0.4,-39.6,39.7,23,33,-10
2025,00-0039917,M.Penix,325,0.07934,0.05108,25.8,1.3,-3.4,-7.2,-2.8,0.4,-0.1,4,-1.4,-9.2,16.6,29,34,-5
2025,00-0032950,C.Wentz,208,0.06007,0.0476,12.5,-3.9,-1.1,-1.7,0.6,-4.7,0.5,7.3,0.4,-2.6,9.9,32,35,-3
2025,00-0035228,K.Murray,221,0.0863,0.03665,19.1,-0.4,-2,-3.1,-1.4,1.8,-1.9,-3,-1,-11,8.1,28,36,-8
2025,00-0034771,M.Rudolph,61,0.10007,0.03607,6.1,-3.6,-2.8,1.5,0,1.6,-0.8,0.1,0.1,-3.9,2.2,24,37,-13
2025,00-0026158,J.Flacco,470,-0.05307,0.02872,-24.9,7.8,19.4,8.6,2.4,6,-0.6,-7.1,1.9,38.4,13.5,47,38,9
2025,00-0035100,J.Browning,156,-0.12884,0.02372,-20.1,12.9,-3.8,13.3,-0.6,-3.1,-2.1,7.2,0,23.8,3.7,55,39,16
2025,00-0039150,B.Young,579,0.01023,0.02366,5.9,6.4,4.4,8.2,-5.3,1.8,0.4,-8.7,0.6,7.8,13.7,39,40,-1
2025,00-0033119,J.Brissett,593,0.01656,0.01197,9.8,-10.1,-18.7,-0.8,12.4,9,3,5,-2.5,-2.7,7.1,38,41,-3
2025,00-0040743,T.Shough,412,0.02451,0.00922,10.1,14.3,-5.2,-2,-3.6,3,0.6,-13.4,0,-6.3,3.8,35,42,-7
2025,00-0023459,A.Rodgers,571,0.06228,-0.0014,35.6,-9.7,-16.1,-7.4,-9.6,-6.5,1,11.8,0.1,-36.4,-0.8,31,43,-12
2025,00-0036945,J.Fields,315,-0.02979,-0.00381,-9.4,3.8,2,-4.4,2.5,4.5,2.2,-2.2,-0.2,8.2,-1.2,45,44,1
2025,00-0029604,K.Cousins,301,0.01772,-0.01694,5.3,-2.3,-2.7,5.3,-0.4,-1.6,0,-7.3,-1.4,-10.4,-5.1,37,45,-8
2025,00-0036212,T.Tagovailoa,455,0.00046,-0.02242,0.2,4.1,-7.6,0.3,-7,-2.4,1.7,0.6,-0.1,-10.4,-10.2,41,46,-5
2025,00-0033662,C.Rush,58,-0.43562,-0.02759,-25.3,6.7,1.5,7.4,1.1,3.7,0.4,2.7,0.2,23.7,-1.6,62,47,15
