season,week,game_id,team,score,adj_score,game_drives,plays,success_rate,total_epa,exp_epa,adj_epa,pass_rate,pass_over_exp,epa_turnover,penalty_epa,special_epa,fumble_lost,conversion_third,epa_third,conversion_fourth,epa_fourth
2025,2,2025_02_SEA_PIT,PIT,17,16.7,24,52,0.346,-13.9,8.5,-2.2,67.2,1.2,-7.3,-0.3,-5.4,NA,5-15,-9.8,1-2,0.9
2025,2,2025_02_SEA_PIT,SEA,31,25.9,24,62,0.452,4.1,14.5,10.9,55.4,-0.9,-10.8,-0.7,-1.5,NA,6-14,10.3,1-2,-4.6
2025,2,2025_02_SF_NO,NO,21,20.5,22,71,0.437,-6.9,7.6,-0.5,62,-8,-5.7,2.5,-3.2,2-1,4-11,0.4,1-2,-2.3
2025,2,2025_02_SF_NO,SF,26,25.6,22,68,0.485,6,18.6,8.4,65.7,3.5,-6.2,2.8,0.3,2-1,8-14,12.4,NA,NA
2025,2,2025_02_TB_HOU,HOU,19,18.9,21,48,0.396,0,7,3.9,66,4.3,NA,-0.5,4.4,NA,2-9,-8.9,0-1,-4.1
2025,2,2025_02_TB_HOU,TB,20,27.4,21,82,0.524,0.6,12,10,64.6,3.4,NA,1.1,-11.1,1-0,6-14,-0.7,1-1,2.4
2025,2,2025_02_WAS_GB,GB,27,29.2,23,65,0.508,6.2,11.5,14.6,56.1,0,NA,-3.5,-1.6,NA,5-12,1.3,0-1,-3
2025,2,2025_02_WAS_GB,WAS,18,16.9,23,61,0.361,-7.1,14.8,-1.8,80.6,5.1,NA,3.5,0.8,NA,5-16,-7.5,1-3,-2.6
2025,3,2025_03_ARI_SF,ARI,15,17.5,20,69,0.377,-0.2,15.1,4.7,62.1,4.4,NA,-0.8,-0.9,1-0,5-15,-6,2-2,5.6
2025,3,2025_03_ARI_SF,SF,16,24.3,20,63,0.508,-1.9,17.7,4.6,69.8,2.9,-4.2,-4,3.4,NA,2-10,-9.2,1-2,0.7
2025,3,2025_03_ATL_CAR,ATL,0,13.8,20,52,0.327,-25.4,23.7,0.8,68.2,-3.3,-14.1,-1.1,-6.1,1-1,5-13,-1.7,0-3,-10.9
2025,3,2025_03_ATL_CAR,CAR,30,20.5,20,49,0.449,1.8,9.3,2.1,50.9,-2.8,NA,-0.9,5.3,NA,3-11,-7.5,2-2,6.6
2025,3,2025_03_CIN_MIN,CIN,10,7.6,25,43,0.256,-38,-2.2,-20,60.7,-8.9,-31.4,5.6,-0.8,5-3,3-11,-4.2,NA,NA
2025,3,2025_03_CIN_MIN,MIN,48,30.7,25,52,0.538,10.6,7.9,9.2,50,-3.2,NA,-4.2,1.3,1-0,4-12,-2.8,1-1,-1.1
2025,3,2025_03_DAL_CHI,CHI,31,26.9,20,51,0.51,19.3,13.4,13.3,54.4,-5.2,NA,-0.6,-1.6,NA,8-14,9.3,1-1,4
2025,3,2025_03_DAL_CHI,DAL,14,23.4,20,63,0.492,3.3,8.4,4.2,68.5,-0.1,-16.9,0.4,1.7,1-1,3-11,-5.8,2-3,0.1
2025,3,2025_03_DEN_LAC,DEN,20,12.8,24,51,0.255,-6.6,11.7,1.1,68.6,-0.5,NA,-0.4,-0.4,NA,2-13,-6,2-2,10.3
2025,3,2025_03_DEN_LAC,LAC,23,22,24,87,0.425,-6.3,18,2,67.4,1.8,-9.3,8.4,-7.4,1-0,8-17,-0.6,NA,NA
2025,3,2025_03_DET_BAL,BAL,30,24,21,52,0.5,6.5,7,2.3,70.9,2.8,-5.6,3.4,5.8,2-1,6-11,7.1,0-1,-3.7
2025,3,2025_03_DET_BAL,DET,38,33.4,21,67,0.582,24.8,15.5,20.6,44.8,-9.5,NA,-1.2,0.7,1-0,7-14,3.4,3-3,9.1
2025,3,2025_03_GB_CLE,CLE,13,14.5,20,66,0.348,-7.3,13.6,-0.3,69.2,-2.5,-0.3,-0.7,3.2,NA,4-13,-8.4,1-2,1.6
2025,3,2025_03_GB_CLE,GB,10,14.4,20,69,0.362,-7.8,4.3,-3.3,54.7,-5.4,-5.8,-1.8,-1.5,1-0,10-19,3.1,NA,NA
2025,3,2025_03_HOU_JAX,HOU,10,17.2,26,63,0.333,-17.5,12.8,-2.9,73.8,4.8,-10.5,0.7,-3.9,1-1,4-15,-5.9,1-1,1.7
2025,3,2025_03_HOU_JAX,JAX,17,21,26,73,0.384,-10.9,20.7,1.1,65.2,1.1,-2.8,3.8,-3.3,NA,4-15,-4.7,0-1,-3
2025,3,2025_03_IND_TEN,IND,41,30.2,18,45,0.578,18.3,15.2,17.4,53.7,2.6,NA,3.2,0,NA,2-7,-0.3,2-2,4.1
2025,3,2025_03_IND_TEN,TEN,20,15.8,18,55,0.418,-10.1,8.2,-4.1,71.4,2.8,-7.9,0.4,3.2,NA,5-14,-11.5,1-2,1.5
2025,3,2025_03_KC_NYG,KC,22,25,19,66,0.515,10.4,12.9,8.1,66.7,8.6,NA,2.1,-3.6,2-0,8-14,9.5,NA,NA
2025,3,2025_03_KC_NYG,NYG,9,18.4,19,62,0.419,-6.1,8.3,2.7,63.6,-10.7,-6.5,3.4,0.2,NA,1-10,-10.4,1-4,-3.1
2025,3,2025_03_LA_PHI,LA,26,24.6,22,66,0.5,-8.6,12.1,2,53,-5.1,-4.9,1.6,-8.7,NA,3-11,-7.6,0-1,-3.4
2025,3,2025_03_LA_PHI,PHI,33,21.4,22,66,0.424,-4,13.8,4.9,60,-5.9,-5.1,-1.3,-4.2,1-1,5-14,2.1,4-5,8.3
2025,3,2025_03_LV_WAS,LV,24,13.1,23,48,0.292,-9.6,4.3,-2.3,54.7,-15.6,NA,-1.5,-2.9,NA,3-14,-5.3,2-3,1
2025,3,2025_03_LV_WAS,WAS,41,28.1,23,42,0.5,15.1,5.5,12.1,43.9,-8,-3.9,-3.2,4.7,1-1,5-10,6.3,NA,NA
2025,3,2025_03_MIA_BUF,BUF,31,27.8,18,58,0.552,15.9,8.7,13.5,56.7,5.8,NA,3.4,-3.6,1-0,6-11,2.5,NA,NA
2025,3,2025_03_MIA_BUF,MIA,21,17.3,18,58,0.397,5.2,16.6,5.4,60.7,-10,-5.8,-1.1,2.9,1-0,10-15,10,1-1,3.4
2025,3,2025_03_NO_SEA,NO,13,22,23,66,0.439,-17,14.2,1.7,65.8,-3,-1.6,0.6,-12.6,NA,5-15,-6.8,0-2,-4.7
2025,3,2025_03_NO_SEA,SEA,44,29.8,23,40,0.55,21.9,7.9,8.9,37.5,-9.7,-4.2,4.5,5.2,1-1,3-9,-2.5,NA,NA
2025,3,2025_03_NYJ_TB,NYJ,27,20.2,22,68,0.456,-5.9,4.6,-5.2,74.6,2.8,-11.7,2,3.1,1-1,3-11,-6.4,1-3,-0.8
2025,3,2025_03_NYJ_TB,TB,29,16.2,22,73,0.329,-3.6,11.7,4.1,53.5,-10.3,NA,-2.4,-4.3,1-0,4-13,-1.2,NA,NA
2025,3,2025_03_PIT_NE,NE,14,22.7,19,75,0.48,-6.9,8.6,6.6,67.6,5.8,-26.7,6,0.1,4-4,6-13,0.1,4-5,9
2025,3,2025_03_PIT_NE,PIT,21,21.5,19,53,0.509,2.5,9,-3.2,52.9,-5.3,-5.3,5.8,0.2,1-0,4-9,-1.7,NA,NA
2025,4,2025_04_BAL_KC,BAL,20,18.6,20,45,0.422,-7.1,2.2,0.2,75.9,7.5,-8.5,0.1,0.4,1-1,3-10,-7.6,1-4,-5.8
2025,4,2025_04_BAL_KC,KC,37,25.6,20,59,0.475,19,13.5,15.3,60.6,6.5,NA,-1.9,1.1,NA,5-14,-2.5,4-4,9.8
2025,4,2025_04_CAR_NE,CAR,13,22.9,21,52,0.5,-19.4,7.9,-1.5,59.4,-7.2,NA,-1,-12.8,1-0,5-14,-5.8,1-3,-2.2
2025,4,2025_04_CAR_NE,NE,42,24.4,21,41,0.439,18,10.5,15.3,50,-4.4,NA,-1.2,-0.2,NA,3-8,3,1-1,4.9
2025,4,2025_04_CHI_LV,CHI,25,19.8,22,70,0.4,-6.2,15.4,3.8,65.2,-3.1,-5.7,-4.7,6.5,2-0,7-17,-3.1,1-1,2.7
2025,4,2025_04_CHI_LV,LV,24,25.6,22,52,0.538,-11.4,7.1,-1.5,43.1,-13.8,-21,-0.7,-1.5,1-1,2-8,-12.7,0-1,-4.9
2025,4,2025_04_CIN_DEN,CIN,3,15.6,20,44,0.364,-7.6,6.2,0.6,70.2,6.2,NA,-0.5,-0.2,NA,2-11,-7.6,NA,NA
2025,4,2025_04_CIN_DEN,DEN,28,26.7,20,60,0.5,13.1,13.8,14.4,56.4,1.6,-4.5,-2,0,NA,8-13,13,0-1,-4.5
2025,4,2025_04_CLE_DET,CLE,10,14.4,27,60,0.283,-26.2,15.8,-5.7,60.6,-6.8,-15.9,-0.1,-10.4,1-1,3-14,-7.5,1-1,2.3
2025,4,2025_04_CLE_DET,DET,34,21.6,27,46,0.391,-6.9,15.1,-0.6,51.7,-8.1,-3.4,-2.1,3.9,NA,6-14,4.3,0-1,-3.6
2025,4,2025_04_GB_DAL,DAL,40,30.1,21,72,0.528,20.6,20.9,18.8,60.9,-2.5,NA,-0.9,0.1,NA,4-11,2.2,1-1,3.1
2025,4,2025_04_GB_DAL,GB,40,30.3,21,86,0.535,25.6,12.7,18.3,61,-6,-2.8,3.8,-1.1,1-1,10-14,16.7,1-1,2.3
2025,4,2025_04_IND_LA,IND,20,20.6,24,62,0.419,-5,10.2,-1.7,66.7,0.7,-7.5,-2.5,4.4,2-1,4-12,0.4,1-1,2.7
2025,4,2025_04_IND_LA,LA,27,27.9,24,70,0.5,1.9,17.9,8.9,66.7,-1.1,-6.5,-3.6,1.1,1-1,4-12,0.9,1-2,0.3
2025,4,2025_04_JAX_SF,JAX,26,22.7,22,69,0.449,-0.8,11.8,4.9,52.4,-2.8,NA,-2.2,-1.9,1-0,4-12,-1.4,1-1,2.4
2024,1,2024_01_ARI_BUF,ARI,28,17.7,20,60,0.383,10.7,11.3,4.2,64.4,-1.8,-4.9,2.4,6.1,1-1,7-13,10.9,0-1,-2.1
2024,1,2024_01_ARI_BUF,BUF,34,28.9,20,65,0.554,15.3,8.2,12.2,53.3,-7.4,-6,-3.8,4,1-1,3-9,2.9,2-2,3.8
