gid,season,week,gameday,game_type,team,opp,pts,pts_allowed,is_home,plays,pr_all,proe,proe_fastr,expl_off,expl20_off,expl_off_n,epa_off,succ_off,spp_neut,spp_neut_n,spp_neut_run,spp_neut_run_n,plays_neut,pr_neut,nh_neut,proe_neut,pr_wp,def_plays,expl_def,expl20_def,epa_def,succ_def,pts_off,drives,ppd
2017_16_JAX_SF,2017,16,2017-12-24,REG,SF,JAX,44.0,33.0,1,65,0.47692307692307695,-1.2373088840309618,,0.09230769230769231,0.06153846153846154,6,0.28077471542395066,0.49230769230769234,28.0,26,32.36363636363637,11,31.0,0.5806451612903226,0.16129032258064516,6.494809929116477,0.5769230769230769,80,0.075,0.0625,0.012937989239187063,0.4625,38.0,11,3.4545454545454546
2017_16_LAC_NYJ,2017,16,2017-12-24,REG,LAC,NYJ,14.0,7.0,0,69,0.5652173913043478,4.958565206865019,,0.11594202898550725,0.08695652173913043,8,0.048449972927441916,0.34782608695652173,32.05,40,38.21052631578947,19,50.0,0.58,0.04,5.137920127379172,0.6,61,0.06557377049180328,0.06557377049180328,-0.2660791955238525,0.29508196721311475,14.0,12,1.1666666666666667
2017_16_LAC_NYJ,2017,16,2017-12-24,REG,NYJ,LAC,7.0,14.0,1,61,0.5081967213114754,-15.361730400537315,,0.06557377049180328,0.06557377049180328,4,-0.2660791955238525,0.29508196721311475,31.678571428571427,28,33.470588235294116,17,38.0,0.4473684210526316,0.0,-13.043399764801507,0.5111111111111111,69,0.11594202898550725,0.08695652173913043,0.048449972927441916,0.34782608695652173,7.0,14,0.5
2017_16_LA_TEN,2017,16,2017-12-24,REG,LA,TEN,27.0,23.0,0,65,0.6153846153846154,8.182749532335194,,0.07692307692307693,0.046153846153846156,5,0.10165029236273782,0.38461538461538464,28.61111111111111,36,37.214285714285715,14,44.0,0.6363636363636364,0.09090909090909091,8.998582703712179,0.6363636363636364,66,0.09090909090909091,0.06060606060606061,-0.048695671688552544,0.36363636363636365,27.0,13,2.076923076923077
2017_16_LA_TEN,2017,16,2017-12-24,REG,TEN,LA,23.0,27.0,1,66,0.6060606060606061,-2.313550212677017,,0.09090909090909091,0.06060606060606061,6,-0.048695671688552544,0.36363636363636365,33.25,36,37.588235294117645,17,44.0,0.5454545454545454,0.1590909090909091,-0.5824830371916492,0.5510204081632653,65,0.07692307692307693,0.046153846153846156,0.10165029236273782,0.38461538461538464,16.0,11,1.4545454545454546
2017_16_MIA_KC,2017,16,2017-12-24,REG,MIA,KC,13.0,29.0,0,52,0.7115384615384616,3.188343267145447,,0.09615384615384616,0.07692307692307693,5,-0.11317902724371051,0.38461538461538464,33.80952380952381,21,36.666666666666664,9,24.0,0.5833333333333334,0.041666666666666664,5.031989459210179,0.6071428571428571,72,0.1111111111111111,0.06944444444444445,0.14115610145659138,0.4305555555555556,13.0,11,1.1818181818181819
2017_16_MIA_KC,2017,16,2017-12-24,REG,KC,MIA,29.0,13.0,1,72,0.5555555555555556,4.467122769309877,,0.1111111111111111,0.06944444444444445,8,0.14115610145659138,0.4305555555555556,34.208333333333336,24,39.333333333333336,15,33.0,0.5151515151515151,0.0,-1.4815927859898212,0.6176470588235294,52,0.09615384615384616,0.07692307692307693,-0.11317902724371051,0.38461538461538464,29.0,11,2.6363636363636362
2017_16_NYG_ARI,2017,16,2017-12-24,REG,NYG,ARI,0.0,23.0,0,66,0.696969696969697,3.663317209311391,,0.045454545454545456,0.045454545454545456,3,-0.4317403935245373,0.3939393939393939,28.181818181818183,22,31.5,10,29.0,0.5517241379310345,0.27586206896551724,-1.7224243265456582,0.59375,63,0.06349206349206349,0.06349206349206349,-0.13876348174441905,0.3492063492063492,0.0,14,0.0
2017_16_NYG_ARI,2017,16,2017-12-24,REG,ARI,NYG,23.0,0.0,1,63,0.5873015873015873,5.980960509604774,,0.06349206349206349,0.06349206349206349,4,-0.13876348174441905,0.3492063492063492,31.714285714285715,21,34.75,8,28.0,0.7142857142857143,0.0,10.936549454602456,0.7575757575757576,66,0.045454545454545456,0.045454545454545456,-0.4317403935245373,0.3939393939393939,16.0,13,1.2307692307692308
2017_16_SEA_DAL,2017,16,2017-12-24,REG,SEA,DAL,21.0,12.0,0,51,0.47058823529411764,-8.358613841994998,,0.0784313725490196,0.0196078431372549,4,-0.14017091476715746,0.39215686274509803,31.103448275862068,29,35.4,15,37.0,0.5405405405405406,0.02702702702702703,-7.174860402017952,0.5384615384615384,67,0.029850746268656716,0.014925373134328358,-0.12137110926903678,0.417910447761194,14.0,11,1.2727272727272727
