latent,pool_n,market,fav_win,push,dog_win,ev_fav,ev_dog,ev_formula_E,side_E,pub_A,pub_B,pub_C
2.75,1064,3.5,0.4182330827067669,0.0,0.581766917293233,-0.20155502392344501,0.11064593301435402,0.10938958372223255,-1,3.0,2.5,3.0
2.75,1064,4.0,0.3900375939849624,0.02819548872180451,0.581766917293233,-0.22718728639781272,0.13884142173615852,0.13926465162011412,-1,3.0,2.5,3.0
2.75,1064,4.5,0.3900375939849624,0.0,0.6099624060150376,-0.2553827751196172,0.16447368421052627,0.16642380425455208,-1,3.0,2.5,3.0
2.75,1064,5.0,0.36372180451127817,0.02631578947368421,0.6099624060150376,-0.2793062200956938,0.19078947368421054,0.19112164976164614,-1,3.0,2.5,3.0
3.25,1125,1.0,0.5813333333333334,0.022222222222222223,0.39644444444444443,0.13204040404040404,-0.22092929292929298,0.1867191429346027,1,3.5,3.5,3.0
3.25,1125,1.5,0.5813333333333334,0.0,0.4186666666666667,0.10981818181818177,-0.20072727272727275,0.16402870533330616,1,3.5,3.5,3.0
3.25,1125,2.0,0.552,0.029333333333333333,0.4186666666666667,0.08315151515151512,-0.17139393939393943,0.1380100759946997,1,3.5,3.5,3.0
3.25,1125,2.5,0.552,0.0,0.448,0.05381818181818179,-0.14472727272727276,0.10938958372223255,1,3.5,3.5,3.0
3.25,1125,3.0,0.4648888888888889,0.08711111111111111,0.448,-0.02537373737373742,-0.05761616161616164,0.035654284114243,1,3.5,3.5,3.0
3.25,1125,3.5,0.4648888888888889,0.0,0.5351111111111111,-0.11248484848484851,0.02157575757575752,-0.04545454545454549,-1,3.5,3.5,3.0
3.25,1125,4.0,0.4328888888888889,0.032,0.5351111111111111,-0.1415757575757576,0.05357575757575753,-0.01557947755666392,-1,3.5,3.5,3.0
3.25,1125,4.5,0.4328888888888889,0.0,0.5671111111111111,-0.17357575757575763,0.08266666666666664,0.01157967507777403,-1,3.5,3.5,3.0
3.25,1125,5.0,0.4026666666666667,0.030222222222222223,0.5671111111111111,-0.2010505050505051,0.11288888888888883,0.03627752058486805,-1,3.5,3.5,3.0
3.25,1125,5.5,0.4026666666666667,0.0,0.5973333333333334,-0.23127272727272738,0.14036363636363633,0.058730107409498834,-1,3.5,3.5,3.0
